prompt,title,feature_aderencia_tema
21,A greve dos caminhoneiros e a malha ferroviária,0.47689048095449543
23,"Vossa excelência  Senador M. M.,",0.5986646313844916
39,A validade do impeachment,0.6733232223144511
26,Podemos perceber que a sociedade brasileira,0.5264150775643748
4,Comenta-se que o ex-presidente Lula,0.5807247904808085
25,Procura-se tolerância,0.5196692426436924
25,Terapia de Reversão da Orientação Sexual (3),0.5245257508701255
16,Remédio para a falta de responsabilidade,0.4055372454841468
18,Direitos humanos para quem?,0.6940922316630904
6,"Amazonas, um bem de todos nós",0.3236394716536104
34,Geração Eu,0.4042737824126046
12,A importância do patriotismo,0.5213662397577481
11,Transtorno climático na Rússia,0.3846466010886235
42,Comprometimento Escolar e Individual,0.35008441105000554
3,O avanço da tecnologia,0.47300482783357195
6,Pulmões limpos e estômagos vazios.,0.6196289555802736
15,Efeitos da globalização nos hábitos alimentares,0.640339841600461
24,As Consequências da Lei,0.6145311767644391
8,A pós-verdade face aos dogmas da Ciência,0.5351147839873077
27,"Prezado redator do UOL,",0.4628090683967918
28,O brasileiro e seus partidos,0.5621962462956722
3,Mundo moderno e suas tecnologias,0.5615963393372922
29,"O possível fim, após quase três décadas",0.36323250031859994
40,Relação beleza e saúde,0.5516441487554614
37,A cultura do estupro e a objetificação da mulher,0.606694889407629
35,Militância partidária,0.5405039665363408
19,Os Titãs são um grupo musical,0.46631261746894276
35,A partir dos 16 anos todos os jovens tem o direito de votar,0.46546253265987847
27,A argumentação brasileira,0.5209977369243086
1,Tempos de IA,0.5352472386694301
4,Não ao aumento da impunidade,0.558038855191306
34,"Espelho, espelho meu",0.4267728239664389
34,(Sem título 098),0.4817583169158085
10,Fatores mais importantes para vencer na vida,0.2769735624590007
30,O outro lado da moeda,0.3831416935234175
4,Assunto que repercute de forma constante,0.38829996682475176
33,Corpo em movimento,0.2564201459579553
13,Um tiro no pé,0.6628481740345998
18,Direitos Humanos é  para todos os humanos?,0.6527655868595311
16,A onda democrática,0.4049984212218487
35,"Uni, Duni, Tê",0.4799633868969727
25,Preconceito ainda é evidente,0.3719715688137697
35,O professor doutrina?,0.5014996987337836
30,Virtualidade em excesso,0.47680361238560204
26,Valores invertidos,0.512785414848204
37,Chega de fiu-fiu,0.570056246871232
3,(In)revolução pós-humana,0.5461612511708152
28,O poder do povo,0.542359788449408
18,Direitos humanos ou impunidade criminal,0.5664880553901462
11,Mudanças ambientais e sociais,0.44647218119990323
42,(Sem título 082),0.42732769664698944
9,Em busca dos seus direitos,0.3323124015108059
36,Liberdade! Liberdade! Abre as asas sobre nós,0.6385796011295085
25,História da Sexualidade,0.43167670270387665
35,Escola Sem Senso Crítico,0.4701731055547201
15,O sobrepeso e seus males,0.51477519366624
2,União entre o órgão público e a opinião pública,0.6360356979118885
2,A lacuna entre sociedade e o governo,0.634411490164688
11,Desastre ambiental (abril 2019),0.5434247279657665
8,Ciência que impulsiona,0.45610118861355936
42,(Sem título 084),0.6459301248521256
24,"Em 1920, nos Estados Unidos",0.5116627060612031
36,Um passado que reflete o presente,0.5444545415999326
37,Medo x Proteção,0.3629326282040513
24,A política proibicionista por trás do combate ao tráfico de drogas,0.661945619018925
42,Determinação,0.44824339850515693
15,A propaganda e o excesso de peso,0.5202865139854348
36,Um fenômeno comum entre países ricos e pobres,0.39491510250958134
15,Um risco de vida,0.4827650799936866
39,(Sem título 094),0.4182953144998054
38,A Liberação da Fosfoetanolamina,0.5414165001798331
32,Liberdade de expressão e intimidade/limites pessoais.,0.5939404878739142
41,Escola militar!,0.33762057549206953
27,Uma carta para a mudança,0.4598792012417472
13,Com o poder nas mãos,0.5218699656854561
25,A pseudocura para uma não doença,0.511408200688119
39,Impeachment,0.6814633426837385
33,Ensino médio,0.5606904325753354
30,Proteção é a resposta,0.340092837014233
39,Impeachment não é solução,0.6695937912908277
5,Agrotóxicos,0.6325628633326095
29,Cracolândia,0.4089401041871291
28,"Um por todos, todos por um",0.3366321720019985
10,A arte do equilíbrio da vida,0.6341876494156968
21,Somos todos caminhoneiros,0.4089836426694996
14,Solidariedade brasileira,0.44917142594437015
18,Direitos humanos para cidadãos,0.700898627701061
23,Transgênico,0.6339291945191494
25,A homofobia em pauta,0.4229308871047454
12,Honra em saudar a pátria,0.38560179039239173
37,O grande medo das mulheres no século XXI,0.5383287377557436
23,"Ouro preto , 01/04/2017",0.5637436031202534
36,"Escravidão no mundo, basta!",0.5233591834236067
9,Educação gratuita para quem realmente precisa,0.4698206702051694
19,A cultura da corrupção na internet brasileira,0.5855346762072383
36,Aquele velho crime,0.4731970627054015
34,Inexistência do super ego ,0.3540307804262213
28,Os últimos suspiros,0.5985381187265032
9,O dilema do ensino superior,0.6498594360818555
32,Constituição Bilateral,0.49854944234642623
29,Interna... intervenção já!,0.46425095416493933
31,O poder,0.43760265176915686
31,Com mudanças,0.5047692379367502
0,Apropriação cultural é só no carnaval?,0.5884749120338755
17,Nosso passado em extinção,0.43008835395760153
26,"O professor, peça chave do processo educacional",0.5741989087290446
20,O país que exporta mão de obra,0.49709205416702246
14,A situação atual do Brasil e a imigração,0.5063317124375555
42,O sucesso está dentro ou fora?,0.6023576404807336
9,Universidade pública e gratuita para o bem dos estudantes,0.43900734347373305
32,Entre direitos individuais e escândalos políticos,0.5086746742067885
41,"Escola, um lugar onde  deve abrir mentes!",0.34673865931752573
12,Paz no futuro e glória no passado,0.558415105866633
35,Não existem esquerda e direita na política moderna,0.4612039990853526
7,Avanço da tecnologia no sistema financeiro,0.36978772922569436
41,(Sem título 080),0.6152978484256305
1,O emprego do futuro,0.6609497475801251
8,É notório o aumento da discussão,0.4228598737715217
39,Circo brasileiro,0.7205703440851808
17,Os Desafios em Preservar a Cultura no Brasil,0.5867221359463091
38,As descobertas através das pesquisas,0.6941536112060807
16,O que falta ao Brasil para prosperar?,0.4295910857223357
40,Saúde e bem estar ,0.5116676835445478
39,Contra  corrupção?,0.5196024652389133
